fold,train_end_quarter,test_quarter,y_actual,baseline_pred,linear_pred,baseline_MAE,linear_MAE,baseline_RMSE,linear_RMSE,baseline_MAPE,linear_MAPE,linear_MAE_improvement_pct
1,2014Q4,2015Q1,42542095.0,34691537.0,43213770.74928937,7850558.0,671675.7492893711,7850558.0,671675.7492893711,0.18453623405241326,0.015788497235253014,0.9144422919632756
2,2015Q1,2015Q2,51543158.0,42542095.0,51181537.38368876,9001063.0,361620.6163112372,9001063.0,361620.6163112372,0.17463157767709925,0.007015880096272666,0.959824676673051
3,2015Q2,2015Q3,61948466.0,51543158.0,61948465.99934047,10405308.0,0.0006595328450202942,10405308.0,0.0006595328450202942,0.16796716160816638,1.0646475814595542e-11,0.9999999999366157
4,2015Q3,2015Q4,73665313.0,61948466.0,73665312.99993703,11716847.0,6.29723072052002e-05,11716847.0,6.29723072052002e-05,0.15905514444769955,8.548434078492302e-13,0.9999999999946255
5,2015Q4,2016Q1,86347037.0,73665313.0,86347037.00004005,12681724.0,4.00543212890625e-05,12681724.0,4.00543212890625e-05,0.1468692434692345,4.638760365229729e-13,0.9999999999968415
6,2016Q1,2016Q2,95351066.0,86347037.0,95351066.00001082,9004029.0,1.0818243026733398e-05,9004029.0,1.0818243026733398e-05,0.09443029194870249,1.1345696991718371e-13,0.9999999999987985
