fold,train_end_quarter,test_quarter,y_actual,baseline_pred,linear_pred,baseline_MAE,linear_MAE,baseline_RMSE,linear_RMSE,baseline_MAPE,linear_MAPE,linear_MAE_improvement_pct
1,2014Q4,2015Q1,3033144.55,3139397.65,3128878.785676669,106253.1000000001,95734.23567666905,106253.1000000001,95734.23567666905,0.03503067468380302,0.031562701380871895,0.09899818756658425
2,2015Q1,2015Q2,3219660.75,3033144.55,3641809.3831796916,186516.2000000002,422148.6331796916,186516.2000000002,422148.6331796916,0.057930389094565375,0.13111587398755958,-1.2633349445232704
3,2015Q2,2015Q3,3255382.05,3219660.75,3255382.050124131,35721.299999999814,0.00012413132935762405,35721.299999999814,0.00012413132935762405,0.010972997777634061,3.813110948302491e-11,0.9999999965250053
4,2015Q3,2015Q4,3135150.7,3255382.05,3135150.7004566127,120231.34999999963,0.00045661255717277527,120231.34999999963,0.00045661255717277527,0.03834946434951265,1.4564293741056059e-10,0.9999999962022171
5,2015Q4,2016Q1,2959174.25,3135150.7,2959174.2499993346,175976.4500000002,6.654299795627594e-07,175976.4500000002,6.654299795627594e-07,0.059468093168220895,2.248701574646236e-13,0.9999999999962187
6,2016Q1,2016Q2,2128802.95,2959174.25,2128802.950046751,830371.2999999998,4.67509962618351e-05,830371.2999999998,4.67509962618351e-05,0.3900648953910928,2.196116660860278e-11,0.9999999999436987
